03/26/2019 08:19:36 - INFO - pytorch_pretrained_bert.tokenization -   loading vocabulary file ../pt_model/bert-base/vocab.txt
03/26/2019 08:38:12 - INFO - root -   *** Example ***
03/26/2019 08:38:12 - INFO - root -   tokens: [CLS] and [MASK] they do receive . we blinked and the place [MASK] full . [MASK] has [MASK] say [MASK] about this [MASK] , right [MASK] [SEP] hub ##s ordered the wings [MASK] very unique ! ) and i got the mushroom flat bread [MASK] we were both " satisfied " with [MASK] food . not thrilled . not over the moon . just ok . for the price , i wanted [MASK] intern . as [MASK] as the flat [MASK] , lower the price by $ 2 bucks and it ' s spot on worth it [MASK] beer selection good - [MASK] typical of cleveland . wine pour ##s are small . end of the ##ulu time , ready to [MASK] . but let [MASK] s [MASK] [MASK] [MASK] first . if you [MASK] anything here at butcher and the brewer , you should go to the bathroom ! ! [MASK] i won ' t expand why . . . . . . just do it . [SEP]
03/26/2019 08:38:12 - INFO - root -   *** Example ***
03/26/2019 08:38:12 - INFO - root -   tokens: [CLS] love the am ##bian ##ce [MASK] the staff , the food . [SEP] everything about this [MASK] keeps me coming back month after month [MASK] ! ! [SEP]
03/26/2019 08:38:12 - INFO - root -   *** Example ***
03/26/2019 08:38:12 - INFO - root -   tokens: [CLS] charlotte - let me tell you that first [MASK] the customer service was [MASK] [MASK] [SEP] centennial des lo ##ca ##ux du plateau qui par ##lai ##ent tres fort . br ##ef , j ' ai app ##ris de chose ##s sans le vo ##ulo [MASK] et ce n [MASK] [MASK] ##it pas pe ##tek ##go ##gi ##que . ) conclusion , un croft [MASK] fai ##t hunters ' affair [MASK] , mai [MASK] qui ne su ##sc ##ite pas de passion en moi . [SEP]
03/26/2019 08:38:12 - INFO - root -   *** Example ***
03/26/2019 08:38:12 - INFO - root -   tokens: [CLS] [MASK] [unused869] [MASK] [MASK] were surprisingly good for an [MASK] hotel . the two of us shared the roasted red pepper hum ##mus , tomato bis ##que ( confluence ##al ) , and the big hip ##pie salad . [SEP] soo [MASK] good ! ! ! we might [MASK] go back today to [MASK] different burger ##s ! [SEP]
03/26/2019 08:38:12 - INFO - root -   *** Example ***
03/26/2019 08:38:12 - INFO - root -   tokens: [CLS] q : what could be [MASK] than a sa ##vor ##y pulled pork sam ##mie [MASK] a tar ##t grape ##fr [MASK] ipa for breakfast ? ? ? ? a : a sa ##vor ##y pulled pork sam [MASK] , a tar ##t [MASK] ##fr ##uit ipa for breakfast with [MASK] homemade , butter ##y [MASK] pop ##tar ##t on the [MASK] [MASK] [MASK] ##lp users , i apologize for the lack of photo [MASK] of this meal . [SEP] toast ##ing [MASK] would ' ve helped - [MASK] ##i tuna burger needed [MASK] more [MASK] - tr ##uf [MASK] fries were so [MASK] and flavor was disappointing - chicken salad with almond [MASK] , goat cheese , and po ##me ##gra [MASK] was plain and wish had [MASK] - nothing really [MASK] about this burger joint - $ 6 milk ##sha ##kes ( they don ud t put [MASK] bourbon [MASK] any liquor ? ) [SEP]
